id,name,category,alcoholic,glassType,instructions,isAlcoholic
273,Orange Scented Hot Chocolate,Cocoa,Non alcoholic,Coffee mug,"Combine all ingredients in heavy medium saucepan. Stir over low heat until chocolate melts. Increase heat and bring just to a boil, stirring often. Remove from heat and whisk untily frothy. Return to heat and bring to boil again. Remove from heat, whisk until frothy. Repeat heating and whisking once again. Discard orange peel. (Can be prepared 2 hours ahead. Let stand at room temperature. Before serving, bring just to boil, remove from heat and whisk until frothy.) Pour hot chocolate into coffee mugs. Makes 2 servings.",False
274,Owen's Grandmother's Revenge,Ordinary Drink,Alcoholic,Highball glass,Add ingredients and mix in blender.,True
275,Paloma,Cocktail,Alcoholic,Collins glass,Stir together and serve over ice.,True
276,Paradise,Ordinary Drink,Alcoholic,Cocktail glass,Shake together over ice. Strain into cocktail glass and serve chilled.,True
277,Pink Gin,Ordinary Drink,Alcoholic,White wine glass,"Pour the bitters into a wine glass. Swirl the glass to coat the inside with the bitters, shake out the excess. Pour the gin into the glass. Do not add ice.",True
278,Pegu Club,Cocktail,Alcoholic,Cocktail glass,"Shake, strain, up, cocktail glass",True
279,Pink Lady,Ordinary Drink,Alcoholic,Cocktail glass,"Shake all ingredients with ice, strain into a cocktail glass, and serve.",True
280,Pink Moon,Cocktail,Alcoholic,Whiskey Glass,"Slowly shake in a shaker with ice, strain into a square whiskey glass. Top with fresh ice. Add the blackberries to garnish. Add flowers and a green leaf for a special look!",True
281,Penicillin,Cocktail,Alcoholic,Old-fashioned glass,"Shake blended Scotch, lemon juice, honey syrup and ginger syrup with ice. Strain over large ice in chilled rocks glass. Float smoky Scotch on top (be sure to use a smoky Scotch such as an Islay single malt). Garnish with candied ginger.",True
282,Pisco Sour,Cocktail,Alcoholic,Cocktail glass,"Vigorously shake and strain contents in a cocktail shaker with ice cubes, then pour into glass and garnish with bitters.
",True
283,Porto flip,Ordinary Drink,Alcoholic,Cocktail glass,"Shake ingredients together in a mixer with ice. Strain into glass, garnish and serve.",True
284,Pina Colada,Ordinary Drink,Alcoholic,Collins glass,"Mix with crushed ice in blender until smooth. Pour into chilled glass, garnish and serve.",True
285,Pink Penocha,Punch / Party Drink,Alcoholic,Punch bowl,mix all ingredients into bowl keep iced stir frequently,True
286,Pure Passion,Cocktail,Alcoholic,Whiskey sour glass,Mix up all ingredients with a cocktail stirrer and serve with crushed ice with mint and edible flour if available.,True
287,Popped cherry,Ordinary Drink,Alcoholic,Highball glass,Served over ice in a tall glass with a popped cherry (can add more popped cherries if in the mood)!,True
288,Poppy Cocktail,Ordinary Drink,Alcoholic,Cocktail glass,"Shake ingredients with ice, strain into a cocktail glass, and serve.",True
289,Port Wine Flip,Ordinary Drink,Alcoholic,Whiskey sour glass,Shake all ingredients (except nutmeg) with ice and strain into a whiskey sour glass. Sprinkle nutmeg on top and serve.,True
290,Planter's Punch,Punch / Party Drink,Alcoholic,Collins glass,"Pour all ingredients, except the bitters, into shaker filled with ice. Shake well. Pour into large glass, filled with ice. Add Angostura bitters, ""on top"". Garnish with cocktail cherry and pineapple.",True
291,Pineapple Paloma,Cocktail,Alcoholic,Collins glass,"Rub the rim of each glass with lime slice and dip into salt.
Add ice, tequila, grapefruit juice, lime juice and top with pineapple soda.
Give it a quick stir.
Garnish with fresh pineapple or lime.",True
292,Pornstar Martini,Cocktail,Alcoholic,Cocktail glass,Straight: Pour all ingredients into mixing glass with ice cubes. Shake well. Strain in chilled martini cocktail glass. Cut passion fruit in half and use as garnish. Pour prosecco into a chilled shot glass and serve alongside the martini.,True
293,Planter’s Punch,Cocktail,Alcoholic,Highball glass,Squeeze an orange and strain the juice. Put all the ingredients in a shaker filled with ice and shake for at least 12 seconds. Strain into a highball glass and decorate with a pineapple wedge or fruit of your choice.,True
294,Port And Starboard,Ordinary Drink,Alcoholic,Pousse cafe glass,"Pour carefully into a pousse-cafe glass, so that creme de menthe floats on grenadine. Serve without mixing.",True
295,Port Wine Cocktail,Ordinary Drink,Alcoholic,Cocktail glass,"Stir ingredients with ice, strain into a cocktail glass, and serve.",True
296,Pysch Vitamin Light,Ordinary Drink,Non alcoholic,Collins Glass,Shake with ice.,False
297,Pink Panty Pulldowns,Ordinary Drink,Alcoholic,Collins Glass,Shake well,True
298,Passion Fruit Martini,Cocktail,Alcoholic,Cocktail glass,Pour all ingredients into a glass and stir. Garnish with half a passion fruit piece.,True
299,Pineapple Gingerale Smoothie,Other / Unknown,Non alcoholic,Highball Glass,Throw everything into a blender and liquify.,False
300,Quentin,Ordinary Drink,Alcoholic,Cocktail glass,"In a shaker half-filled with ice cubes, combine the rum, Kahlua, and cream. Shake well. Strain into a cocktail glass and garnish with the nutmeg.",True
301,Queen Bee,Ordinary Drink,Alcoholic,Cocktail glass,"Shake all ingredients with ice, strain into a cocktail glass, and serve.",True
302,Quick F**K,Shot,Alcoholic,Shot glass,"In a shot glass add 1/3 Kahlua first. Then 1/3 Miduri, topping it off with a 1/3 bailey's irish cream",True
303,Quick-sand,Ordinary Drink,Alcoholic,Highball glass,"Simply add the orange juice, quite a quick pour in order to mix the sambucca with the orange juice. The juice MUST have fruit pulp!",True
304,Queen Charlotte,Ordinary Drink,Alcoholic,Collins glass,"Pour red wine and grenadine into a collins glass over ice cubes. Fill with lemon-lime soda, stir, and serve.",True
305,Queen Elizabeth,Ordinary Drink,Alcoholic,Cocktail glass,"Stir all ingredients with ice, strain into a cocktail glass, and serve.",True
306,Quaker's Cocktail,Ordinary Drink,Alcoholic,Cocktail glass,"Shake all ingredients with ice, strain into a cocktail glass, and serve.",True
307,Quarter Deck Cocktail,Ordinary Drink,Alcoholic,Cocktail glass,"Stir all ingredients with ice, strain into a cocktail glass, and serve.",True
308,Rose,Ordinary Drink,Alcoholic,Cocktail glass,"Shake together in a cocktail shaker, then strain into chilled glass. Garnish and serve.",True
309,Radler,Ordinary Drink,Alcoholic,Highball glass,"Pour beer into large mug, slowly add the 7-up (or Sprite).",True
310,Rum Sour,Ordinary Drink,Alcoholic,Whiskey sour glass,"In a shaker half-filled with ice cubes, combine the rum, lemon juice, and sugar. Shake well. Strain into a sour glass and garnish with the orange slice and the cherry.",True
311,Rum Punch,Punch / Party Drink,Alcoholic,Punch bowl,Mix all ingredients in a punch bowl and serve.,True
312,Rum Toddy,Ordinary Drink,Alcoholic,Old-fashioned glass,Dissolve powdered sugar in water in an old-fashioned glass. Add rum and one ice cube and stir. Add the twist of lemon peel and serve.,True
313,Royal Fizz,Ordinary Drink,Alcoholic,Collins glass,Shake all ingredients (except cola) with ice and strain into a chilled collins glass. Fill with cola and serve.,True
314,Rum Cooler,Ordinary Drink,Alcoholic,Collins glass,Pour the rum and soda into a collins glass almost filled with ice cubes. Stir well and garnish with the lemon wedge.,True
315,Rum Runner,Punch / Party Drink,Alcoholic,Cocktail glass,Mix all ingredients in glass & add ice.,True
316,Rusty Nail,Ordinary Drink,Alcoholic,Old-fashioned glass,Pour the Scotch and Drambuie into an old-fashioned glass almost filled with ice cubes. Stir well. Garnish with the lemon twist.,True
317,Red Snapper,Shot,Alcoholic,Old-fashioned glass,"One shot each, shake n shoot",True
318,Royal Bitch,Shot,Alcoholic,Shot glass,Into a shot glass layer the Crown Royal on top of the Frangelico.,True
319,Royal Flush,Shot,Alcoholic,Old-fashioned glass,Pour all the ingredients into tumbler over ice. Strain into glass.,True
320,Rum Cobbler,Ordinary Drink,Alcoholic,Old-fashioned glass,"In an old-fashioned glass, dissolve the sugar in the club soda. Add crushed ice until the glass is almost full. Add the rum. Stir well. Garnish with the cherry and the orange and lemon slices.",True
321,Ruby Tuesday,Cocktail,Alcoholic,Highball glass,Pour gin and cranberry into a highball filled with ice cubes. Add grenadine and stir.,True
322,Rail Splitter,Cocktail,Non alcoholic,Highball glass,Mix sugar syrup with lemon juice in a tall glass. Fill up with ginger ale.,False
323,Rosemary Blue,Cocktail,Alcoholic,Balloon Glass,"1) Add the Bombay Sapphire, Blue Curacao, rosemary sprig and gently squeezed lemon wedge to a balloon glass. Swirl well to combine.
2) Fill with cubed ice and top with the Fever-Tree Light Tonic Water.
3) Gently fold with a bar spoon to mix.",True
324,Ramos Gin Fizz,Cocktail,Alcoholic,Highball glass,"Prepare all the ingredients on the counter to be able to work well and quickly, especially the cream and egg white.

Pour all the ingredients into a shaker.

Shake vigorously for 1 minute: cream and egg white must be mixed perfectly, so don't rush.

Now open the shaker and put some ice and shake for 1-2 minutes. It depends on how long you can resist!

Pour into a highball glass, add a splash of soda and garnish to taste.

Ramos Gin Fizz was once drunk as an invigorating drink or even as a breakfast, try it as an aperitif and after dinner and you will discover a little gem now lost.",True
325,Royal Gin Fizz,Ordinary Drink,Alcoholic,Highball glass,"Shake all ingredients (except carbonated water) with ice and strain into a highball glass over two ice cubes. Fill with carbonated water, stir, and serve.",True
326,Rum Milk Punch,Ordinary Drink,Alcoholic,Collins glass,Shake all ingredients (except nutmeg) with ice and strain into a collins glass. Sprinkle nutmeg on top and serve.,True
327,Raspberry Julep,Cocktail,Alcoholic,Cordial glass,"Softly muddle the mint leaves and raspberry syrup in the bottom of the cup. Add crushed ice and Bourbon to the cup and then stir. Top with more ice, garnish with a mint sprig.",True
328,Rum Screwdriver,Ordinary Drink,Alcoholic,Highball glass,"Pour rum into a highball glass over ice cubes. Add orange juice, stir, and serve.",True
329,Raspberry Cooler,Other / Unknown,Alcoholic,Highball glass,Pour the raspberry vodka and soda into a highball glass almost filled with ice cubes. Stir well.,True
330,Rum Old-fashioned,Ordinary Drink,Alcoholic,Old-fashioned glass,"Stir powdered sugar, water, and bitters in an old-fashioned glass. When sugar has dissolved add ice cubes and light rum. Add the twist of lime peel, float 151 proof rum on top, and serve.",True
331,Russian Spring Punch,Ordinary Drink,Alcoholic,Highball glass,"Pour the ingredients into an highball glass, top with Sparkling wine.",True
332,Radioactive Long Island Iced Tea,Ordinary Drink,Alcoholic,Collins Glass,Pour all ingredients over ice in a very tall glass. Sip cautiously.,True
333,Smut,Punch / Party Drink,Alcoholic,Beer mug,Throw it all together and serve real cold.,True
334,Spritz,Ordinary Drink,Alcoholic,Old-Fashioned glass,"Build into glass over ice, garnish and serve.",True
335,Scooter,Ordinary Drink,Alcoholic,Cocktail glass,"Shake all ingredients well with cracked ice, strain into a cocktail glass, and serve.",True
336,Sangria,Punch / Party Drink,Alcoholic,Pitcher,Mix all together in a pitcher and refrigerate. Add cloves and cinnamon sticks to taste. Serve in wine glasses.,True
337,Stinger,Ordinary Drink,Alcoholic,Cocktail glass,"Pour in a mixing glass with ice, stir and strain into a cocktail glass. May also be served on rocks in a rocks glass.",True
338,Sazerac,Ordinary Drink,Alcoholic,Old-fashioned glass,"Rinse a chilled old-fashioned glass with the absinthe, add crushed ice, and set it aside. Stir the remaining ingredients over ice and set it aside. Discard the ice and any excess absinthe from the prepared glass, and strain the drink into the glass. Add the lemon peel for garnish.",True
339,Sidecar,Ordinary Drink,Alcoholic,Cocktail glass,Pour all ingredients into cocktail shaker filled with ice. Shake well and strain into cocktail glass.,True
340,Snowday,Cocktail,Alcoholic,Collins glass,Stir all ingredients with ice. Strain into a chilled rocks glass over fresh ice. Express orange peel over drink and garnish.,True
341,Spice 75,Cocktail,Alcoholic,Wine Glass,"Gently warm 60g golden caster sugar in a pan with 30ml water and 1 tbsp allspice. Cook gently until the sugar has dissolved, then leave the mixture to cool. Strain through a sieve lined with a coffee filter (or a double layer of kitchen paper).

Pour 60ml of the spiced syrup into a cocktail shaker along with 200ml rum and 90ml lime juice. Shake with ice and strain between six flute glasses. Top up with 600ml champagne and garnish each with an orange twist.",True
342,Snowball,Ordinary Drink,Alcoholic,Highball glass,Place one ice cube in the glass and add 1 1/2 oz of Advocaat. Fill up the glass with lemonade and decorate with a slice of lemon. Serve at once.,True
343,Shot-gun,Shot,Alcoholic,Shot glass,Pour one part Jack Daneils and one part Jim Beam into shot glass then float Wild Turkey on top.,True
344,Salty Dog,Ordinary Drink,Alcoholic,Highball glass,"Pour all ingredients over ice cubes in a highball glass. Stir well and serve. (Vodka may be substituted for gin, if preferred.)",True
345,Stone Sour,Ordinary Drink,Alcoholic,Whiskey sour glass,"Shake all ingredients with ice, strain into a chilled whiskey sour glass, and serve.",True
346,Sea breeze,Ordinary Drink,Alcoholic,Highball glass,Build all ingredients in a highball glass filled with ice. Garnish with lime wedge.,True
347,Scotch Sour,Ordinary Drink,Alcoholic,Whiskey sour glass,"Shake scotch, juice of lime, and powdered sugar with ice and strain into a whiskey sour glass. Decorate with 1/2 slice lemon, top with the cherry, and serve.",True
348,Sweet Tooth,Shake,Alcoholic,Highball Glass,"Put 2 shots Godiva Liquour into a glass, add as much or as little milk as you would like.",True
349,Screwdriver,Ordinary Drink,Alcoholic,Highball glass,Mix in a highball glass with ice. Garnish and serve.,True
350,Sherry Flip,Ordinary Drink,Alcoholic,Nick and Nora Glass,Shake all ingredients (except nutmeg) with ice and strain into a whiskey sour glass. Sprinkle nutmeg on top and serve.,True
351,Sol Y Sombra,Ordinary Drink,Alcoholic,Brandy snifter,"Shake ingredients with ice, strain into a brandy snifter, and serve. (The English translation of the name of this drink is ""Sun and Shade"", and after sampling this drink, you'll understand why. Thanks, Kirby.)",True
352,Shark Attack,Cocktail,Alcoholic,Pitcher,Mix lemonade and water according to instructions on back of can. If the instructions say to add 4 1/3 cans of water do so. Mix into pitcher. Add 1 1/2 cup of Vodka (Absolut). Mix well. Pour into glass of crushed ice. Excellent!,True
353,San Francisco,Ordinary Drink,Alcoholic,Highball glass,"Take a tall glass and put in a few ice cubes, fill the vodka over it and fill with juice then the ""creme"", to end fill in the grenadine but very carefully at the side of the glass so it will lay down in the bottom. garnish with orange and strawberry.",True
354,Space Odyssey,Ordinary Drink,Alcoholic,Highball glass,Fill glass with ice and add shots of Bacardi and Malibu. Add splash of pineapple juice and top with orange juice. Add grenadine for color and garnish with cherries.,True
355,Sherry Eggnog,Ordinary Drink,Alcoholic,Collins glass,"Shake sherry, powdered sugar, and egg with ice and strain into a collins glass. Fill with milk and stir. Sprinkle nutmeg on top and serve.",True
356,Sweet Bananas,Shake,Non alcoholic,Highball Glass,"Place all ingredients in the blender jar - cover and whiz on medium speed until well blended. Pour in one tall, 2 medium or 3 small glasses and drink up.",False
357,Sweet Sangria,Punch / Party Drink,Alcoholic,Pitcher,"Dissolve the sugar in hot water and cool. Peel the citrus fruits and break into wedges. Mix the wine, sugar syrup, fruit, and Fresca in a pitcher and put in the fridge for a few hours. Serve in tall glasses with a straw.",True
358,Thriller,Ordinary Drink,Alcoholic,Cocktail glass,"In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass.",True
359,The Galah,Cocktail,Alcoholic,Collins glass,Mix together the alcoholic portions and top with Pineapple and Lime juice.,True
360,Tia-Maria,Homemade Liqueur,Alcoholic,Collins Glass,"Boil water, sugar and coffe for 10 mins and let cool. Add rum and vanilla. Put in clean bottle(s) and leave for 1 week before using.",True
361,Tipperary,Cocktail,Alcoholic,Nick and Nora Glass,"Stir over ice. Strain into chilled glass. Cut a wide swath of orange peel, and express the orange oils over the drink. Discard orange twist.",True
362,Turkeyball,Shot,Alcoholic,Shot glass,Shake with ice and strain into a shot glass.,True
363,Texas Sling,Shake,Alcoholic,Wine Glass,"Blend with Ice until smooth. Serve in a tulip glass, top with whip cream.",True
364,Thai Coffee,Coffee / Tea,Non alcoholic,Highball glass,"Place the coffee and spices in the filter cone of your coffee maker. Brew coffee as usual, let it cool. In a tall glass, dissolve 1 or 2 teaspoons of sugar in an ounce of the coffee (it's easier to dissolve than if you put it right over ice). Add 5-6 ice cubes and pour coffee to within about 1 inch of the top of the glass. Rest a spoon on top of the coffee and slowly pour whipping cream into the spoon. This will make the cream float on top of the coffee rather than dispersing into it right away.",False
365,Tom Collins,Ordinary Drink,Alcoholic,Collins glass,"In a shaker half-filled with ice cubes, combine the gin, lemon juice, and sugar. Shake well. Strain into a collins glass alomst filled with ice cubes. Add the club soda. Stir and garnish with the cherry and the orange slice.",True
366,Tomato Tang,Other / Unknown,Non alcoholic,Highball glass,"Place all ingredients in the blender jar - cover and whiz on medium speed until well blended. Pour in one tall, 2 medium or 3 small glasses and drink up.",False
367,Talos Coffee,Coffee / Tea,Alcoholic,Brandy snifter,Add your GM and then add your coffee.,True
368,Tennesee Mud,Coffee / Tea,Alcoholic,Coffee Mug,"Mix Coffee, Jack Daniels and Amaretto. Add Cream on top.",True
369,Tequila Fizz,Ordinary Drink,Alcoholic,Collins glass,"Shake all ingredients (except ginger ale) with ice and strain into a collins glass over ice cubes. Fill with ginger ale, stir, and serve.",True
370,Tequila Sour,Ordinary Drink,Alcoholic,Whiskey sour glass,"Shake tequila, juice of lemon, and powdered sugar with ice and strain into a whiskey sour glass. Add the half-slice of lemon, top with the cherry, and serve.",True
371,Thai Iced Tea,Coffee / Tea,Non alcoholic,Highball glass,"Combine Thai tea (i.e., the powder), boiling water, and sweetened condensed milk, stir until blended. Pour into 2 tall glasses filled with ice cubes. Garnish with mint leaves. Makes 2 servings.",False
372,The Last Word,Cocktail,Alcoholic,Cocktail glass,Shake with ice and strain into a cocktail glass.,True
373,Turf Cocktail,Ordinary Drink,Alcoholic,Cocktail glass,Stir all ingredients (except orange peel) with ice and strain into a cocktail glass. Add the twist of orange peel and serve.,True
374,The Laverstoke,Cocktail,Alcoholic,Balloon Glass,"1) Squeeze two lime wedges into a balloon glass then add the cordial, Bombay Sapphire and MARTINI Rosso Vermouth, swirl to mix.

2) Fully fill the glass with cubed ice and stir to chill.

3) Top with Fever-Tree Ginger Ale and gently stir again to combine.

4) Garnish with a snapped ginger slice and an awoken mint sprig.",True
375,Tequila Slammer,Shot,Alcoholic,Hurricane glass,Mix carefully to avoid releasing the dissolved CO2.,True
376,Tequila Sunrise,Cocktail,Alcoholic,Highball glass,"Pour the tequila and orange juice into glass over ice. Add the grenadine, which will sink to the bottom. Stir gently to create the sunrise effect. Garnish and serve.",True
377,The Philosopher,Cocktail,Alcoholic,Margarita glass,"Add all the spirits in a shaker (best to use Hendricks gin) as well as the orange bitters and lemon juice. Strain into a Margarita glass, top with Prosecco.",True
378,Tuxedo Cocktail,Ordinary Drink,Alcoholic,Cocktail glass,Stir all ingredients with ice and strain into a cocktail glass. Garnish with a cherry and a twist of lemon zest.,True
379,Tequila Surprise,Shot,Alcoholic,Shot glass,Fill shot glass with Tequila. Add drops of Tobasco sauce.,True
380,Thai Iced Coffee,Coffee / Tea,Non alcoholic,Highball glass,"Prepare a pot of coffee at a good European strength. In the ground coffee, add 2 or 3 freshly ground cardamom pods. Sweeten while hot, then cool quickly. Serve in highball glass over ice, with cream. To get the layered effect, place a spoon atop the coffee and pour the milk carefully into the spoon so that it floats on the top of the coffee.",False
381,The Jimmy Conway,Cocktail,Alcoholic,Whiskey sour glass,"Fill glass with ice
Pour in The Irishman and Disaronno
Fill to the top with Cranberry Juice
Garnish with a slice of lemon…Enjoy!",True
382,Texas Rattlesnake,Shot,Alcoholic,Highball glass,"Mix all ingredients and Shake well. Sweet at first, with a BITE at the end...",True
383,Vesper,Cocktail,Alcoholic,Cocktail glass,"Shake over ice until well chilled, then strain into a deep goblet and garnish with a thin slice of lemon peel.",True
384,Victor,Ordinary Drink,Alcoholic,Cocktail glass,"Shake all ingredients with ice, strain into a cocktail glass, and serve.",True
385,Vampiro,Ordinary Drink,Alcoholic,Old-Fashioned glass,"Vampiros may be made in a tall glass or an old fashioned glass. Bartenders may first ""rim"" the glass with Kosher Salt, which is done by placing a layer of Kosher Salt on a chopping board, moistening the glass' rim with lime juice or water, and then placing the upside down glass rim onto the Kosher Salt, so that the salt sticks to the moistened rim. The second step is to fill half the glass with ice and add one or two shooter glasses full of high quality Tequila. The next stage is to add the flavouring elements. This is done by squeezing a fresh lime into the glass, adding a few grains of salt, adding citrus-flavoured soda pop, until the glass is 4/5 full, and then adding spicy Viuda de Sanchez (or orange juice, lime juice and pico de gallo). The final step is to stir the ingredients so that the flavours are properly blended.",True
386,Vesuvio,Ordinary Drink,Alcoholic,Old-fashioned glass,"Shake all ingredients with ice, strain into an old-fashioned glass over ice cubes, and serve.",True
387,Veteran,Ordinary Drink,Alcoholic,Old-fashioned glass,Pour the rum and cherry brandy into an old-fashioned glass almost filled with ice cubes. Stir well.,True
388,Van Vleet,Ordinary Drink,Alcoholic,Old-fashioned glass,"Shake all ingredients with ice, strain into an old-fashioned glass over ice cubes, and serve.",True
389,Vodka Fizz,Other / Unknown,Alcoholic,White wine glass,"Blend all ingredients, save nutmeg. Pour into large white wine glass and sprinkle nutmeg on top.",True
390,Vodka Lemon,Cocktail,Alcoholic,Highball glass,"The vodka lemon is prepared directly in a highball glass or in a large tumbler: put 6-7 ice cubes in the glass, pour the vodka, lemonade and mix with a bar spoon. Finally decorate with a slice of lemon and, if you prefer, add a few mint leaves. Your vodka lemon is ready to be served.",True
391,Vodka Slime,Cocktail,Alcoholic,Highball glass,"Fill glass with ice. Add vodka, 7-up then finish with the lime juice.",True
392,Vodka Tonic,Cocktail,Alcoholic,Highball glass,"Wash and cut 1 wedge and 1 slice of lime or lemon.
Fill a tumbler with fresh ice.
Pour the desired dose of vodka and top up with the tonic.
Squeeze the lime wedge into the glass and decorate with the slice.
That's all, very simple: it's just the recipe for happiness!",True
393,Vodka Martini,Ordinary Drink,Alcoholic,Cocktail glass,"Shake the vodka and vermouth together with a number of ice cubes, strain into a cocktail glass, add the olive and serve.",True
394,Vodka Russian,Ordinary Drink,Alcoholic,Collins Glass,Mix it as a ordinary drink .,True
395,Vermouth Cassis,Ordinary Drink,Alcoholic,Highball glass,"Stir vermouth and creme de cassis in a highball glass with ice cubes. Fill with carbonated water, stir again, and serve.",True
396,Victory Collins,Ordinary Drink,Alcoholic,Collins glass,Shake all ingredients (except orange slice) with ice and strain into a collins glass over ice cubes. Add the slice of orange and serve.,True
397,Vodka And Tonic,Ordinary Drink,Alcoholic,Highball glass,"Pour vodka into a highball glass over ice cubes. Fill with tonic water, stir, and serve.",True
398,Valencia Cocktail,Ordinary Drink,Alcoholic,Cocktail glass,"Shake all ingredients with ice, strain into a cocktail glass, and serve.",True
399,Whisky Mac,Ordinary Drink,Alcoholic,Collins Glass,Pour both of the ingredients into a wine goblet with no ice.,True
400,White Lady,Ordinary Drink,Alcoholic,Cocktail glass,Add all ingredients into cocktail shaker filled with ice. Shake well and strain into large cocktail glass.,True
401,Wine Punch,Punch / Party Drink,Alcoholic,Collins Glass,Combine all of the ingredients and pour over a block of ice.,True
402,Wine Cooler,Punch / Party Drink,Optional alcohol,Collins Glass,Mix wine and soft drink. Pour into glass. Add ice.,False
403,Winter Rita,Beer,Alcoholic,Highball Glass,"Salt rim. Combine all ingredients, shake with ice, and strain over fresh ice.⠀",True
404,Whiskey Sour,Ordinary Drink,Alcoholic,Old-fashioned glass,"Shake with ice. Strain into chilled glass, garnish and serve. If served 'On the rocks', strain ingredients into old-fashioned glass filled with ice.",True
405,White Russian,Ordinary Drink,Alcoholic,Old-fashioned glass,Pour vodka and coffee liqueur over ice cubes in an old-fashioned glass. Fill with light cream and serve.,True
406,Winter Paloma,Cocktail,Alcoholic,Highball glass,Everyone’s favourite Paloma gets a delicious Indian makeover. Tequila reposado infused with “Timur Pepper” which has citrusy & grapefruit notes and is grown at the foothills of Himalaya. It also produces a slightly numbing and tingling sensation on your lip when consumed. We have also spiced up the fresh grapefruit juice with the warming spice blend from Himalaya. The combination of all these interesting elements has allowed us to elevate your Paloma sipping experience.,True
407,White Wine Sangria,Punch / Party Drink,Alcoholic,Pitcher,"Chop the Lemon, Lime and other fruits into large chunks. Fill the Pitcher with the white wine and mix in the Apple Brandy. Top to taste with soda water.",True
408,Whitecap Margarita,Other / Unknown,Alcoholic,Margarita/Coupette glass,Place all ingredients in a blender and blend until smooth. This makes one drink.,True
409,Waikiki Beachcomber,Ordinary Drink,Alcoholic,Cocktail glass,"Shake all ingredients with ice, strain into a cocktail glass, and serve.",True
410,Yellow Bird,Cocktail,Alcoholic,Cocktail glass,Shake and strain into a chilled cocktail glass,True
411,Yoghurt Cooler,Other / Unknown,Non alcoholic,Highball Glass,"Place all ingredients in the blender jar - cover and whiz on medium speed until well blended. Pour in one tall, 2 medium or 3 small glasses and drink up. Note: Use lots of ice in this one - great on hot days! To add ice: Remove the center of the cover while the blender is on - drop 3 or 4 ice cubs and blend until they're completely crushed.",False
412,Zorro,Coffee / Tea,Alcoholic,Coffee Mug,add all and pour black coffee and add whipped cream on top.,True
413,Zinger,Soft Drink,Alcoholic,Highball glass,Get a shot glass and pour in three shots of the schnapps. Do the same with the Surge Cola. Then down it like Scheetz would.,True
414,Zoksel,Soft Drink,Alcoholic,Beer pilsner,"No specific mixinginstructions, just poor every ingredient in one glass. The lemon goes with it.",True
415,Zombie,Cocktail,Alcoholic,Hurricane glass,"
Blend at high speed for no more than 5 seconds.

Pour into a glass, add ice cubes to fill, then add the garnish.

*Donn’s mix: Bring 3 crushed cinnamon sticks, 1 cup of sugar and 1 cup of water to a boil, stirring until the sugar is dissolved.

Simmer for 2 minutes, then remove from the heat and let sit for at least 2 hours before straining into a clean glass bottle.

Then add 1 part of the syrup and 2 parts of fresh grapefruit juice together.",True
416,Zambeer,Soft Drink,Alcoholic,Collins Glass,Mix sambuca with rootbeer and stir. Add ice,True
417,Zorbatini,Cocktail,Alcoholic,Cocktail glass,Prepare like a Martini. Garnish with a green olive.,True
418,Zenmeister,Ordinary Drink,Alcoholic,Collins Glass,Mix together and enjoy,True
419,Zipperhead,Shot,Alcoholic,Whiskey sour glass,"Fill glass with rocks, add straw before putting in liquor. Then add the ingredients in order, trying to keep layered as much as possible (i.e. Chambord on bottom, then Vodka, Then soda on top).",True
420,Zima Blaster,Ordinary Drink,Alcoholic,Hurricane glass,"Fill glass with ice. Pour in Chambord, then fill with Zima. Mix and enjoy.",True
421,Zizi Coin-coin,Punch / Party Drink,Alcoholic,Margarita/Coupette glass,"Pour 5cl of Cointreau on ice, add 2cl of fresh lemon (or lime) juice, stir gently, and finally add slices of lemon/lime in glass.",True
422,Zimadori Zinger,Punch / Party Drink,Alcoholic,Collins glass,Pour Zima in a collins glass over ice and then pour the shot of Midori. Don't stir. Garnish with a cherry.,True
423,Zippy's Revenge,Cocktail,Alcoholic,Old-fashioned glass,Mix Kool-Aid to taste then add Rum and ammaretto. shake well to disolve the sugar in the Kool-Aid... serve cold,True
424,Ziemes Martini Apfelsaft,Ordinary Drink,Alcoholic,Collins Glass,Serve without ice. At least the juice shold have room temperature.,True
